consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text1.started,scales_images.started,add_question_text2.started,next_slide_text.started,spacebar_continue_7.started,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
"1 of 6
I confirm that I have read the attached information sheet (Version A5.0; Date 26/05/2022) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,21.24956983490847,y,0.017820621142163873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,23.379673616960645,y,0.13362159207463264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,25.426493005943485,y,0.048847222118638456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,27.491847327910364,y,0.06254096608608961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,29.56427520699799,y,0.3517118060262874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,31.924148392979987,y,0.8849373400444165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.89862391795032,34.89862391795032,34.89862391795032,34.89862391795032,34.89862391795032,34.89862391795032,34.89862391795032,2.6004968030611053,20,5.0,2.587500756024383,,0.03854166666666667,-0.4125,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,6.0,6.0,6.0,6.0,43.500782642979175,43.500782642979175,43.500782642979175,43.500782642979175,43.500782642979175,43.500782642979175,43.500782642979175,43.500782642979175,43.500782642979175,45.47345684096217,space,0.08854670100845397,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.589917326928116,45.589917326928116,45.589917326928116,45.589917326928116,45.589917326928116,45.589917326928116,45.589917326928116,45.589917326928116,45.589917326928116,47.57420743594412,space,0.029059314052574337,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.64070475392509,47.64070475392509,47.64070475392509,47.64070475392509,47.64070475392509,47.64070475392509,47.64070475392509,47.64070475392509,47.64070475392509,49.62365530396346,space,0.08389379712752998,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.74119251698721,49.74119251698721,49.74119251698721,49.74119251698721,49.74119251698721,49.74119251698721,49.74119251698721,49.74119251698721,49.74119251698721,51.723752878955565,space,0.0146885821595788,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.777274664957076,51.777274664957076,51.777274664957076,51.777274664957076,51.777274664957076,51.777274664957076,51.777274664957076,51.777274664957076,51.777274664957076,53.757362250005826,space,0.1368064790731296,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.926955753937364,53.926955753937364,53.926955753937364,53.926955753937364,53.926955753937364,53.926955753937364,53.926955753937364,53.926955753937364,53.926955753937364,55.90643310395535,space,0.027984197135083377,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.96103351691272,55.96103351691272,55.96103351691272,55.96103351691272,55.96103351691272,55.96103351691272,55.96103351691272,55.96103351691272,55.96103351691272,57.9402439519763,space,0.12205805000849068,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.093705917010084,58.093705917010084,58.093705917010084,58.093705917010084,58.093705917010084,58.093705917010084,58.093705917010084,58.093705917010084,58.093705917010084,60.090135785983875,space,0.14298817911185324,,,,,,,,,,,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,67,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7cn,images/pointed_maps_images/7cn.jpeg,,,,,,,,,,,,,0,0,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.44745405390859,60.44745405390859,60.44745405390859,60.44745405390859,60.44745405390859,61.34047877090052,1.3145833333333332,0.9216134230373427,space,0.04170824703760445,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,65,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5in,images/pointed_maps_images/5in.jpeg,,,,,,,,,,,,,0,1,1,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.41825062397402,61.41825062397402,61.41825062397402,61.41825062397402,61.41825062397402,61.50735026190523,1.3145833333333332,0.07424379501026124,space,0.054010009160265326,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,50,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10in,images/pointed_maps_images/10in.jpeg,,,,,,,,,,,,,0,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.602192178950645,61.602192178950645,61.602192178950645,61.602192178950645,61.602192178950645,61.69025403098203,1.3145833333333332,0.07037763902917504,space,0.022665883065201342,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,49,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9is,images/pointed_maps_images/9is.jpeg,,,,,,,,,,,,,0,3,3,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.75668690993916,61.75668690993916,61.75668690993916,61.75668690993916,61.75668690993916,61.807341989013366,1.3145833333333332,0.04018682101741433,space,0.05031071207486093,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,44,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4cn,images/pointed_maps_images/4cn.jpeg,,,,,,,,,,,,,0,4,4,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.90531929896679,61.90531929896679,61.90531929896679,61.90531929896679,61.90531929896679,61.956926323939115,1.3145833333333332,0.03989056102000177,space,0.06514216808136553,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,74,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14cs,images/pointed_maps_images/14cs.jpeg,,,,,,,,,,,,,0,5,5,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.05202681699302,62.05202681699302,62.05202681699302,62.05202681699302,62.05202681699302,62.12359650398139,1.3145833333333332,0.05677631194703281,space,0.05830683407839388,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,48,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8cn,images/pointed_maps_images/8cn.jpeg,,,,,,,,,,,,,0,6,6,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2181058509741,62.2181058509741,62.2181058509741,62.2181058509741,62.2181058509741,62.256529766949825,1.3145833333333332,0.028179870918393135,space,0.0764924130635336,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,7,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7is,images/pointed_maps_images/7is.jpeg,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.37575255089905,62.37575255089905,62.37575255089905,62.37575255089905,62.37575255089905,62.85725883790292,1.3145833333333332,0.466756685054861,space,0.09428759710863233,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,8,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8in,images/pointed_maps_images/8in.jpeg,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.98457506997511,62.98457506997511,62.98457506997511,62.98457506997511,62.98457506997511,63.157061578007415,1.3145833333333332,0.15674037591088563,space,0.11549417010974139,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,41,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1is,images/pointed_maps_images/1is.jpeg,,,,,,,,,,,,,0,9,9,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.30679034197237,63.30679034197237,63.30679034197237,63.30679034197237,63.30679034197237,63.59048236790113,1.3208333333333333,0.26951255404856056,space,0.015456845052540302,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,66,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6cs,images/pointed_maps_images/6cs.jpeg,,,,,,,,,,,,,0,10,10,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.64245631592348,63.64245631592348,63.64245631592348,63.64245631592348,63.64245631592348,63.74061923590489,1.3229166666666665,0.08584221208002418,space,0.04433385806623846,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,47,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7cs,images/pointed_maps_images/7cs.jpeg,,,,,,,,,,,,,0,11,11,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.81840274191927,63.81840274191927,63.81840274191927,63.81840274191927,63.81840274191927,63.906699765939265,1.3229166666666665,0.0756752589950338,space,0.053568878094665706,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,15,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15is,images/pointed_maps_images/15is.jpeg,,,,,,,,,,,,,0,12,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.997347147902474,63.997347147902474,63.997347147902474,63.997347147902474,63.997347147902474,64.0906303889351,1.3229166666666665,0.07504809706006199,space,0.06573197711259127,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,37,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17cn,images/pointed_maps_images/17cn.jpeg,,,,,,,,,,,,,0,13,13,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.18380622297991,64.18380622297991,64.18380622297991,64.18380622297991,64.18380622297991,64.39069834898692,1.5208333333333335,0.19415624591056257,space,0.13321296602953225,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,39,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19in,images/pointed_maps_images/19in.jpeg,,,,,,,,,,,,,0,14,14,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.55251659499481,64.55251659499481,64.55251659499481,64.55251659499481,64.55251659499481,64.79073244694155,1.5729166666666665,0.22360845899675041,space,0.07482618209905922,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,52,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12cn,images/pointed_maps_images/12cn.jpeg,,,,,,,,,,,,,0,15,15,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.90599100198597,64.90599100198597,64.90599100198597,64.90599100198597,64.90599100198597,64.95664117892738,1.5770833333333334,0.04401251405943185,space,0.12578152515925467,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,54,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14in,images/pointed_maps_images/14in.jpeg,,,,,,,,,,,,,0,16,16,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.11688178998884,65.11688178998884,65.11688178998884,65.11688178998884,65.11688178998884,65.27376177592669,1.5770833333333334,0.30882789695169777,space,0.13862285716459155,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,10,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10cn,images/pointed_maps_images/10cn.jpeg,,,,,,,,,,,,,0,17,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.44903445790987,65.44903445790987,65.44903445790987,65.44903445790987,65.44903445790987,65.607224370935,1.5770833333333334,0.27433630998712033,space,0.14912087202537805,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,1,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1cs,images/pointed_maps_images/1cs.jpeg,,,,,,,,,,,,,0,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.78556156496052,65.78556156496052,65.78556156496052,65.78556156496052,65.78556156496052,65.89059074292891,1.5770833333333334,0.0900530880317092,space,0.037580352975055575,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,9,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9cs,images/pointed_maps_images/9cs.jpeg,,,,,,,,,,,,,0,19,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.96688473899849,65.96688473899849,65.96688473899849,65.96688473899849,65.96688473899849,66.05727553192992,1.5770833333333334,0.07599993899930269,space,0.028206242015585303,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,17,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17cs,images/pointed_maps_images/17cs.jpeg,,,,,,,,,,,,,0,20,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.12019911699463,66.12019911699463,66.12019911699463,66.12019911699463,66.12019911699463,66.22375699190889,1.5770833333333334,0.09034524497110397,space,0.0643961459863931,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,72,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12is,images/pointed_maps_images/12is.jpeg,,,,,,,,,,,,,0,21,21,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.32469347992446,66.32469347992446,66.32469347992446,66.32469347992446,66.32469347992446,66.34551623393781,1.5770833333333334,0.18701049394439906,space,0.1502082321094349,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,5,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5cs,images/pointed_maps_images/5cs.jpeg,,,,,,,,,,,,,0,22,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.53142684791237,66.53142684791237,66.53142684791237,66.53142684791237,66.53142684791237,66.6572692549089,1.5770833333333334,0.10812773706857115,space,0.042532369145192206,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,13,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13cs,images/pointed_maps_images/13cs.jpeg,,,,,,,,,,,,,0,23,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7425954239443,66.7425954239443,66.7425954239443,66.7425954239443,66.7425954239443,66.82401755300816,1.5770833333333334,0.06966083298902959,space,0.040651707095094025,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,75,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cn,images/pointed_maps_images/15cn.jpeg,,,,,,,,,,,,,0,24,24,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.90405918692704,66.90405918692704,66.90405918692704,66.90405918692704,66.90405918692704,66.95659384992905,1.5770833333333334,0.043778817052952945,space,0.0839242790825665,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
,,,,,,76,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16is,images/pointed_maps_images/16is.jpeg,,,,,,,,,,,,,0,25,25,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.07507269689813,67.07507269689813,67.07507269689813,67.07507269689813,67.07507269689813,67.12343234894797,1.5770833333333334,0.042217436945065856,space,0.10725473705679178,,,,,,,,,,2023-03-22_22h43.58.592,BZ,2022.2.4,None,
