consent_item,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,participant,date,expName,psychopyVersion,frameRate,
,0,0,0,0,,,,,,,,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
,1,0,1,0,,,,,,,,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
,2,0,2,0,,,,,,,,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
,3,0,3,0,,,,,,,,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
,4,0,4,0,,,,,,,,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
,5,0,5,0,,,,,,,,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
"1 of 6
I confirm that I have read the attached information sheet (Version A5.0; Date 26/05/2022) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,0,0,0,0,18.216226155000186,y,0.11019578600098612,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,0,1,1,1,20.33198057000118,y,2.737848662000033,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,0,2,2,2,25.083576544999232,y,0.6001817260003008,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,0,3,3,3,27.680537856002047,y,0.700374059000751,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,0,4,4,4,30.404507331000787,y,0.038975756000581896,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
"6 of 6
I agree to take part in this study.",,,,,0,5,5,5,32.462813235000795,y,0.06535288599843625,,,,,,,,,2023-03-27_21h12.01.271,BZ,2022.2.4,60.113380447324964,
,,,,,,,,,,,,34.604773512000975,34.604773512000975,34.604773512000975,34.604773512000975,34.604773512000975,34.604773512000975,34.604773512000975,,,,,,
