info_sheet_loop.thisIndex,expName,file_name,textbox.text,genderResp2.text,__participant,spacebar_continue.rt,spacebar_continue_3.keys,sentence,q5_slider.response,mouse_3.x,spacebar_continue.keys,genderResp1.response,info_sheet_loop.thisRepN,next_slide_key.keys,arrow_posx,consent_loop.thisTrialN,mouse_3.leftButton,OS,q4_slider.response,instruction,spacebar_continue_7.keys,trials.thisN,spacebar_continue_7.rt,slide_text,mouse_3.midButton,frameRate,arrow_posy,scale_slider.response,trials.ran,consent_loop.thisRepN,edu_slider.response,next_slide_key.rt,consent_item,psychopyVersion,consent_loop.ran,participant,info_sheet_loop.thisN,instructions_loop.ran,spacebar_continue_3.rt,consent_key.rt,q2_slider.response,info_sheet_loop.thisTrialN,item_no,mouse_3.clicked_name,q1_slider.response,trials.thisIndex,consent_key.keys,info_sheet_loop.ran,q3_slider.response,mouse_3.y,date,mouse_3.rightButton,instructions_loop.thisN,__datetime,trials.thisRepN,slider.response,instructions_loop.thisIndex,correct_option,consent_loop.thisIndex,triangle_pos,__session,granularity,genderResp1.rt,instructions_loop.thisTrialN,slider.rt,question,file_path,ageResp.text,total_duration,__experimentName,consent_loop.thisN,trials.thisTrialN,instructions_loop.thisRepN
﻿,BZ,,,,PARTICIPANT,,,,,,,,,,,,,MacIntel,,,,,,,,60.002400096003235,,,,,,,,2022.2.4,,test,,,,,,,,,,,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,,,SESSION,,,,,,,,,3rd_year_experiment,,,
﻿0,BZ,,,,PARTICIPANT,,,,,,,,0,,,,,MacIntel,,,,,,,,60.002400096003235,,,,,,,,2022.2.4,,test,0,,,,,0,,,,,,1,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,,,SESSION,,,,,,,,,3rd_year_experiment,,,
﻿0,BZ,,,,PARTICIPANT,,,,,,,,1,,,,,MacIntel,,,,,,,,60.002400096003235,,,,,,,,2022.2.4,,test,1,,,,,0,,,,,,1,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,,,SESSION,,,,,,,,,3rd_year_experiment,,,
﻿0,BZ,,,,PARTICIPANT,,,,,,,,2,,,,,MacIntel,,,,,,,,60.002400096003235,,,,,,,,2022.2.4,,test,2,,,,,0,,,,,,1,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,,,SESSION,,,,,,,,,3rd_year_experiment,,,
﻿0,BZ,,,,PARTICIPANT,,,,,,,,3,,,,,MacIntel,,,,,,,,60.002400096003235,,,,,,,,2022.2.4,,test,3,,,,,0,,,,,,1,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,,,SESSION,,,,,,,,,3rd_year_experiment,,,
﻿,BZ,,,,PARTICIPANT,,,,,,,,,,,0,,MacIntel,,,,,,,,60.002400096003235,,,,0,,,"1 of 6
I confirm that I have read the attached information sheet (Version A7.0; Date 22/02/2023) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",2022.2.4,1,test,,,,0.18959999999404076,,,,,,,y,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,0,,SESSION,,,,,,,,,3rd_year_experiment,0,,
﻿,BZ,,,,PARTICIPANT,,,,,,,,,,,1,,MacIntel,,,,,,,,60.002400096003235,,,,0,,,"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself. I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set. 

I agree to take part on this basis.",2022.2.4,1,test,,,,0.015100000008938963,,,,,,,y,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,1,,SESSION,,,,,,,,,3rd_year_experiment,1,,
﻿,BZ,,,,PARTICIPANT,,,,,,,,,,,2,,MacIntel,,,,,,,,60.002400096003235,,,,0,,,"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",2022.2.4,1,test,,,,0.1670000000000016,,,,,,,y,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,2,,SESSION,,,,,,,,,3rd_year_experiment,2,,
﻿,BZ,,,,PARTICIPANT,,,,,,,,,,,3,,MacIntel,,,,,,,,60.002400096003235,,,,0,,,"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",2022.2.4,1,test,,,,0.30059999999403786,,,,,,,y,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,3,,SESSION,,,,,,,,,3rd_year_experiment,3,,
﻿,BZ,,,,PARTICIPANT,,,,,,,,,,,4,,MacIntel,,,,,,,,60.002400096003235,,,,0,,,"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",2022.2.4,1,test,,,,0.18870000000298148,,,,,,,y,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,4,,SESSION,,,,,,,,,3rd_year_experiment,4,,
﻿,BZ,,,,PARTICIPANT,,,,,,,,,,,5,,MacIntel,,,,,,,,60.002400096003235,,,,0,,,"6 of 6
I agree to take part in this study.",2022.2.4,1,test,,,,0.1767999999970158,,,,,,,y,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,5,,SESSION,,,,,,,,,3rd_year_experiment,5,,
﻿,BZ,,,,PARTICIPANT,,,,,0.0029338200887044272,,5,,,,,1,MacIntel,,,,,,,0,60.002400096003235,,,,,,,,2022.2.4,,test,,,,,,,,continue_box_2,,,,,,-0.3899209976196289,2023-03-30_19h52.35.067,0,,2023-03-30_19h52.28.727,,,,,,,SESSION,,3.9558000000119193,,,,,20,,3rd_year_experiment,,,
﻿,BZ,,,,PARTICIPANT,,,,,,,,,,,,,MacIntel,,,,,,,,60.002400096003235,,,,,4,,,2022.2.4,,test,,,,,,,,,,,,,,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,,,SESSION,,,,,,,,,3rd_year_experiment,,,
﻿,BZ,,,,PARTICIPANT,,,,5,,,,,,,,,MacIntel,3,,,,,,,60.002400096003235,,,,,,,,2022.2.4,,test,,,,,4,,,,4,,,,4,,2023-03-30_19h52.35.067,,,2023-03-30_19h52.28.727,,,,,,,SESSION,,,,,,,,,3rd_year_experiment,,,
﻿,BZ,,,,PARTICIPANT,,,,,,,,,space,10,,,MacIntel,,This experiment is about using information to make decisions. Each trial will look similar to this:,,,,Slide 1 of 8,,60.002400096003235,10,,,,,0.5355999999940408,,2022.2.4,,test,,1,,,,,,,,,,,,,2023-03-30_19h52.35.067,,0,2023-03-30_19h52.28.727,,,0,,,10,SESSION,,,0,,,,,,3rd_year_experiment,,,0
﻿,BZ,,,,PARTICIPANT,,,,,,,,,space,-0.55,,,MacIntel,,"First, you should read the text above the image.",,,,Slide 2 of 8,,60.002400096003235,0.15,,,,,1.7712999999970123,,2022.2.4,,test,,1,,,,,,,,,,,,,2023-03-30_19h52.35.067,,1,2023-03-30_19h52.28.727,,,1,,,10,SESSION,,,1,,,,,,3rd_year_experiment,,,0
﻿,BZ,,,,PARTICIPANT,,,,,,,,,space,-0.24,,,MacIntel,,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,,,,Slide 3 of 8,,60.002400096003235,-0.075,,,,,0.9722999999970199,,2022.2.4,,test,,1,,,,,,,,,,,,,2023-03-30_19h52.35.067,,2,2023-03-30_19h52.28.727,,,2,,,10,SESSION,,,2,,,,,,3rd_year_experiment,,,0
﻿,BZ,,,,PARTICIPANT,,,,,,,,,space,-0.24,,,MacIntel,,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),,,,Slide 4 of 8,,60.002400096003235,-0.075,,,,,0.3019999999999925,,2022.2.4,,test,,1,,,,,,,,,,,,,2023-03-30_19h52.35.067,,3,2023-03-30_19h52.28.727,,,3,,,10,SESSION,,,3,,,,,,3rd_year_experiment,,,0
﻿,BZ,,,,PARTICIPANT,,,,,,,,,space,-0.53,,,MacIntel,,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",,,,Slide 5 of 8,,60.002400096003235,-0.28,,,,,0.3074000000059698,,2022.2.4,,test,,1,,,,,,,,,,,,,2023-03-30_19h52.35.067,,4,2023-03-30_19h52.28.727,,,4,,,10,SESSION,,,4,,,,,,3rd_year_experiment,,,0
﻿,BZ,,,,PARTICIPANT,,,,,,,,,space,-0.45,,,MacIntel,,You should move the marker to indicate your response.,,,,Slide 6 of 8,,60.002400096003235,-0.36,,,,,0.015999999999991132,,2022.2.4,,test,,1,,,,,,,,,,,,,2023-03-30_19h52.35.067,,5,2023-03-30_19h52.28.727,,,5,,,0,SESSION,,,5,,,,,,3rd_year_experiment,,,0
﻿,BZ,,,,PARTICIPANT,,,,,,,,,space,-0.45,,,MacIntel,,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",,,,Slide 7 of 8,,60.002400096003235,-0.36,,,,,0.38299999999999557,,2022.2.4,,test,,1,,,,,,,,,,,,,2023-03-30_19h52.35.067,,6,2023-03-30_19h52.28.727,,,6,,,0.1,SESSION,,,6,,,,,,3rd_year_experiment,,,0
